ESC-short flight,LiPo,weight_all,Curr,Cost,,
UltraESC,,46,20,,,
PX4ESC,,130,80,,,
MK ESC 2.0,,52.8,40,,,
MK ESC 3.0,,73.4,60,110,,
ESC32v2,,50.8,20,,,
ESC32v3,,66.8,40,,,
VESC,,128,50,,,
BLHeli32 bit,2--5,60,35,46,,
powerday 30A,3--4,47,30,26,,
NIDICI BLHeli_32,2--5,46,35,45,,
HGLRC ,3--5,31,30,36,,
Hobbypower SimonK,2--4,44,30,27,,
iFlight SucceX Slick,2--6,46.8,55,72,,8/esc
TCMMRC 4in1,2--5,42,40,30,,
iFlight SucceX-E 4in1,2--6,46.4,45,34,,
Racerstar RS20Ax4 4in1,2--4,51,20,33,,8/esc
,,,,,,
ESC-long flight,LiPo,weight_all,Curr,Cost,,
Xiangtat Hobbywing,2--6,252,60,108,,
Xiangtat Hobbywing  ,2--6,328,80,140,,
Xiangtat Hobbywing  ,2--6,156,30,64,,
Crazepony,2--6,240,50,112,,
RC elec parts,2--4,272,60,108,,
Hobbypower ,2--4,100,30,22.69,,
RC elec parts,2--4,96,30,64,,
RC elec parts,2--4,192,40,80,,
HGLRC FSESC,2--6,320,50,324,,
,,420,80,,,
