dataset,,Feature Extraction/Matching,Local Bundle Adjustement (BA),Global Bundle Adjustement (BA),total latency,Speedup,,
MH01,TX2,0.181994166,1.930091059,0,2.112085225,2.112085225,,
,FPGA,8.619818852,25.71607736,0,34.33589621,34.33589621,,
MH02,TX2,0.483482645,4.908394578,0,5.391877223,5.391877223,,
,FPGA,5.03223921,33.60642234,0,38.63866155,38.63866155,,
MH03,TX2,0.07001525,0.758991065,0,0.829006315,0.829006315,,
,FPGA,12.42956134,12.53541286,0,24.9649742,24.9649742,,
MH04,TX2,0.636083457,5.062789971,0,5.698873428,5.698873428,,
,FPGA,6.213894474,30.57537593,0,36.78927041,36.78927041,,
MH05,TX2,0.781604173,4.906397803,0,5.688001976,5.688001976,,
,FPGA,6.503246268,30.24986447,0,36.75311074,36.75311074,,
V101,TX2,0.060522066,0.586761953,0,0.647284019,0.647284019,,
,FPGA,11.61434738,15.26768681,0,26.8820342,26.8820342,,
V102,TX2,0.027474112,0.312896491,0.918650665,1.259021269,1.259021269,,
,FPGA,4.030945359,4.142033287,20.09862186,28.2716005,28.2716005,,
V103,TX2,0.01079171,0.131160492,2.134162423,2.276114626,2.276114626,,
,FPGA,1.062800722,1.131819473,27.40615598,29.60077617,29.60077617,,
V201,TX2,0.127894687,0.889585442,0,1.017480129,1.017480129,,
,FPGA,10.74926368,14.8551241,0,25.60438778,25.60438778,,
V202,TX2,0.048277853,0.524354936,2.172076676,2.744709465,2.744709465,,
,FPGA,1.93263777,3.560033443,24.63392412,30.12659534,30.12659534,,
V203,TX2,0.037180105,0.294162051,2.807107484,3.13844964,3.13844964,,
,FPGA,1.25911073,1.346644807,26.78132789,29.38708343,29.38708343,,Paper
GMEAN,,,,,1,,1,2.3
,,,,,2.168075121,,2.168075121,4.986572777
,,,,,30.70084373,,30.70084373,70.61194057
