Config,V,Capacity (mAh),Weight (gr),Discharge (C),Brand,
6S1P,22.2,7000,914,15,,
6S1P,22.2,8000,942,15,,
6S1P,22.2,12000,1620,15,,
6S1P,22.2,12000,1670,15,,
6S1P,22.2,12000,1670,15,,
6S1P,22.2,12000,1620,15,,
6S1P,22.2,12000,1620,15,,
6S1P,22.2,16000,1932,15,,
6S1P,22.2,16000,2063,15,,
6S1P,22.2,16000,1932,15,,
6S1P,22.2,10000,1319,20,,
6S1P,22.2,4500,670,25,,
6S1P,22.2,6200,855,25,,
6S1P,22.2,7000,870,25,,
6S1P,22.2,8000,1160,25,,
6S1P,22.2,9000,1173,25,,
6S1P,22.2,10000,1400,25,,
6S1P,22.2,10000,1517,25,,
6S1P,22.2,10000,1517,25,,
6S1P,22.2,22000,2490,25,,
6S1P,22.2,22000,2650,25,,
6S1P,22.2,26000,3185,25,,
6S1P,22.2,28000,3413,25,,
6S1P,22.2,30000,3673,25,,
6S1P,22.2,6000,885,35,,
6S1P,22.2,1600,297,40,,
6S1P,22.2,5000,716,45,,
6S1P,22.2,5000,716,45,,
6S1P,22.2,5500,769,45,,
6S1P,22.2,3300,506,60,,
6S1P,22.2,4000,706,60,,
6S1P,22.2,5000,744,60,,
6S1P,22.2,5500,769,60,,
6S1P,22.2,1000,175,75,,
6S1P,22.2,1400,240,75,,
6S1P,22.2,6000,855,100,Zeee,
6S1P,22.2,6000,840,100,,
6S1P,22.2,5000,756,100,,
6S1P,22.2,3000,449,100,,
6S1P,22.2,5000,855,30,,
5S1P,18.5,5000,600,45,,
5S1P,18.5,5500,636,45,,
5S1P,18.5,6200,734,25,,
5S1P,18.5,1550,214,120,,
5S1P,18.5,1350,216,150,,
5S1P,18.5,1550,145,150,,
5S1P,18.5,1300,170,95,,
5S1P,18.5,1000,228,100,,
5S1P,18.5,1300,198,100,,
5S1P,18.5,1300,182,100,,
5S1P,18.5,1250,196,120,,
5S1P,18.5,1500,230,120,,
5S1P,18.5,1300,201,95,,
5S1P,18.5,1500,236,80,,
5S1P,18.5,1300,189,100,,
5S1P,18.5,1550,232,100,,
5S1P,18.5,1300,200,100,,
5S1P,18.5,1500,228,100,,
5S1P,18.5,1300,201,75,,
5S1P,18.5,5000,677,25,,
5S1P,18.5,5000,750,65,,
4S1P,14.8,8000,650,15,,
4S1P,14.8,16000,1241,15,,
4S1P,14.8,1550,173,25,,
4S1P,14.8,1800,190,25,,
4S1P,14.8,2200,249,25,,
4S1P,14.8,3300,366,25,,
4S1P,14.8,3800,418,25,,
4S1P,14.8,4000,422,25,,
4S1P,14.8,4400,497,25,,
4S1P,14.8,6200,585,25,,
4S1P,14.8,6750,600,25,,
4S1P,14.8,10000,940,25,,
4S1P,14.8,22000,1711,25,,
4S1P,14.8,3300,378,35,,
4S2P,14.8,6600,713,35,,
4S1P,14.8,850,99,45,,
4S1P,14.8,1050,120,45,,
4s1p,14.8,1300,154,45,,
4S1P,14.8,1550,178,45,,
4S1P,14.8,1800,202,45,,
4S1P,14.8,2300,224,45,,
4S1P,14.8,3700,361,45,,
4S1P,14.8,5000,480,45,,
4S1P,14.8,5500,526,45,,
4S1P,14.8,2200,240,50,HOOVO,
4S1P,14.8,5000,558,50,Goldbat,
4S1P,14.8,5000,492,50,HRB,
4S1P,14.8,5000,508,50,ovonic,
4S1P,14.8,5000,571,50,,
4S1P,14.8,5200,484,50,HOOVO,
4S1P,14.8,6000,580,50,HRB,
4S1P,14.8,5200,520,60,Zeee,
4S1P,14.8,7200,617,70,,
4S1P,14.8,450,67,75,,
4S1P,14.8,1050,125,75,,
4S1P,14.8,1300,155,75,,
4S1P,14.8,1300,160,75,,
4S1P,14.8,1550,176,75,,
4S1P,14.8,1550,176,75,,
4S1P,14.8,1800,202,75,,
4S1P,14.8,1800,207,75,,
4S2P,14.8,6500,612,80,Zeee,
4S1P,14.8,7200,627,80,Zeee,
4S1P,14.8,850,104,95,TATTU,
4S1P,14.8,1300,172.6,95,,
4S1P,14.8,7000,575,100,Zeee,
4S1P,14.8,9000,736,100,Zeee,
3S1P,11.1,300,26,45,BETAFPV,
3S1P,11.1,300,26,75,Lumenier,
3S1P,11.1,450,45,25,,
3S1P,11.1,450,29,45,TATTU,
3S1P,11.1,450,40,75,BETAFPV,
3S1P,11.1,450,57,75,,
3S1P,11.1,550,46,95,TATTU,
3S1P,11.1,650,59,75,TATTU,
3S1P,11.1,700,64,75,Lumenier,
3S1P,11.1,750,62,95,TATTU,
3S1P,11.1,800,72,40,,
3S1P,11.1,850,71,35,Lumenier,
3S1P,11.1,850,76,45,,
3S1P,11.1,850,80,75,TATTU,
3S1P,11.1,870,86,80,Thunder,
3S1P,11.1,900,80,45,,
3S1P,11.1,1000,96,25,,
3S1P,11.1,1050,85,45,,
3S1P,11.1,1050,98,75,,
3S1P,11.1,1300,115,25,,
